trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
509,3.99,1,8.78,1.04,3.49,13.31,1
1409,5.13,1,16.09,3.9,3.47,23.46,1
752,2.17,1,9.26,0.0,0.78,10.04,0
135,0.77,1,3.9,0.0,1.27,5.17,0
1737,9.38,1,23.4,5.46,3.96,32.82,1
1752,9.7,1,23.4,2.86,4.5,30.76,1
1205,11.86,1,21.45,0.0,1.27,22.72,0
39,0.23,1,2.44,0.0,1.27,3.71,0
657,2.83,1,9.26,2.47,0.83,12.56,0
1117,4.14,1,12.68,0.0,0.78,13.46,0
335,1.35,5,5.85,2.08,4.41,12.34,1
686,7.35,1,14.62,3.25,1.78,19.65,0
1372,6.45,1,16.58,0.0,0.29,16.87,0
1030,6.76,1,13.65,1.95,3.95,19.55,1
1287,7.84,1,18.53,1.95,0.78,21.26,0
640,2.48,6,8.29,0.0,0.78,9.07,0
441,1.32,1,6.34,1.04,0.72,8.1,0
451,1.59,1,6.34,0.0,1.76,8.1,0
566,2.43,1,7.8,1.69,0.81,10.3,0
1465,11.56,1,23.4,4.94,3.4,31.74,1
1951,7.07,1,20.96,4.29,0.84,26.09,0
798,4.67,1,11.21,4.94,3.4,19.55,1
1483,3.65,1,15.6,2.08,0.84,18.52,0
1915,5.57,1,19.5,1.95,0.78,22.23,0
759,3.94,1,10.72,0.0,0.78,11.5,0
1385,10.93,1,22.42,5.98,7.1,35.5,0
344,1.48,1,5.85,0.0,1.76,7.61,0
509,3.43,1,8.29,2.34,3.47,14.1,1
752,4.18,1,10.24,0.0,3.46,13.7,1
1678,13.95,1,27.79,6.37,3.93,38.09,1
343,4.06,1,8.78,0.0,0.78,9.56,0
393,2.64,1,6.82,0.0,0.78,7.6,0
585,1.96,1,7.8,3.9,1.76,13.46,0
881,3.6,1,11.21,2.99,3.41,17.61,1
406,1.51,1,6.34,0.0,0.78,7.12,0
64,0.24,1,2.92,0.0,0.78,3.7,0
336,1.83,1,5.85,2.08,4.41,12.34,1
778,3.6,1,10.24,1.04,4.37,15.65,1
687,3.99,1,10.24,1.95,0.78,12.97,0
383,1.67,1,6.34,1.04,1.2,8.58,0
406,2.41,1,7.31,0.0,0.78,8.09,0
596,3.54,1,9.26,2.08,1.29,12.63,0
1046,4.75,2,13.16,1.95,3.46,18.57,1
368,1.29,1,5.36,0.0,0.78,6.14,0
1167,4.67,1,14.62,1.43,4.47,20.52,1
849,4.28,1,11.21,0.0,0.78,11.99,0
715,4.02,1,10.24,2.34,1.22,13.8,0
616,3.81,1,10.24,1.95,3.95,16.14,1
1372,6.42,1,16.09,4.94,3.4,24.43,1
210,0.63,1,3.9,0.0,1.76,5.66,0
423,1.72,1,6.34,1.43,0.77,8.54,0
756,9.19,5,17.06,3.9,0.78,21.74,0
413,3.54,1,8.78,0.0,0.78,9.56,0
495,6.12,2,12.19,1.95,0.78,14.92,0
424,2.09,1,6.82,2.34,1.32,10.48,0
583,2.12,1,7.8,1.95,0.78,10.53,0
1437,5.36,1,17.06,3.51,0.84,21.41,0
333,1.8,1,5.85,1.56,1.72,9.13,0
583,2.08,1,7.31,1.56,0.84,9.71,0
228,0.85,1,4.39,1.3,0.77,6.46,0
2324,6.98,1,23.4,4.81,0.81,29.02,0
1131,4.1,1,13.16,2.99,1.75,17.9,0
335,1.58,1,5.85,1.56,4.42,11.83,1
342,1.61,1,5.85,1.95,1.71,9.51,0
571,2.33,1,8.29,2.21,0.83,11.33,0
868,3.77,1,11.21,0.0,0.78,11.99,0
2875,4.92,2,26.81,0.0,1.27,28.08,0
933,2.93,1,11.21,0.0,0.78,11.99,0
1709,9.46,1,22.91,7.15,0.74,30.8,0
816,5.87,2,13.16,2.73,0.84,16.73,0
284,0.63,1,4.39,0.0,1.76,6.15,0
1647,5.55,1,17.55,0.0,4.44,21.99,1
1671,6.34,1,19.01,0.0,3.46,22.47,1
388,1.63,1,5.85,1.43,1.26,8.54,0
546,2.25,1,7.8,0.0,0.78,8.58,0
1069,5.57,1,13.65,3.64,4.41,21.7,1
1616,13.45,6,26.32,0.0,3.46,29.78,1
414,2.19,1,6.82,2.34,0.72,9.88,0
1937,8.51,1,21.94,5.07,3.47,30.48,1
1719,13.44,1,26.81,1.95,3.46,32.22,1
699,2.46,3,8.78,2.08,1.78,12.64,0
846,3.14,1,10.24,2.21,0.77,13.22,0
1095,4.26,1,12.68,3.25,3.44,19.37,1
11,13.44,1,50.7,0.0,0.78,51.48,0
1210,11.46,1,21.45,1.95,0.78,24.18,0
601,2.46,1,8.78,1.95,4.47,15.2,1
530,2.57,1,7.31,1.95,3.46,12.72,1
2289,21.2,1,39.98,9.49,7.69,57.16,0
1074,5.68,1,14.14,3.51,3.47,21.12,1
281,0.84,1,4.88,0.0,1.76,6.64,0
1204,6.63,1,16.09,0.0,3.46,19.55,1
1163,6.69,1,16.58,0.0,0.78,17.36,0
190,1.0,1,4.39,1.04,0.77,6.2,0
1611,10.06,1,22.91,7.15,0.74,30.8,0
632,2.11,2,8.29,0.0,1.76,10.05,0
346,1.0,6,5.36,0.0,0.78,6.14,0
450,3.25,6,8.78,0.0,1.27,10.05,0
1161,26.26,5,50.7,14.3,6.72,71.72,0
894,6.24,1,14.14,1.95,1.27,17.36,0
1762,6.24,2,19.01,4.94,0.79,24.74,0
250,1.48,5,5.36,1.82,3.41,10.59,1
1313,9.33,2,20.48,1.95,4.44,26.87,1
406,2.67,1,7.31,0.0,0.78,8.09,0
275,1.32,1,5.36,1.69,1.72,8.77,0
515,1.38,1,6.82,1.95,0.73,9.5,0
1074,5.07,2,14.14,2.99,0.77,17.9,0
632,2.7,1,8.29,0.0,0.78,9.07,0
274,0.77,1,4.88,0.0,0.78,5.66,0
743,3.83,1,10.24,1.95,3.46,15.65,1
3293,12.3,1,35.1,0.0,3.46,38.56,1
517,3.62,1,8.78,1.04,3.4,13.22,1
928,4.6,1,12.68,0.0,0.78,13.46,0
314,0.85,1,4.88,1.43,0.76,7.07,0
627,2.7,1,8.29,0.0,0.78,9.07,0
520,2.53,1,7.31,0.0,0.78,8.09,0
2351,16.45,1,34.61,3.9,3.46,41.97,1
643,2.0,1,8.29,2.34,3.47,14.1,1
172,0.64,1,3.9,0.0,0.78,4.68,0
1718,12.39,1,26.32,0.0,3.46,29.78,1
1138,8.05,1,16.58,0.0,3.46,20.04,1
336,1.45,1,5.36,1.43,1.75,8.54,0
1351,6.12,1,16.09,5.07,4.49,25.65,1
221,1.3,1,4.39,0.0,1.76,6.15,0
1194,12.52,1,23.4,6.11,7.17,36.68,0
587,3.11,5,8.78,0.0,0.78,9.56,0
428,1.77,1,6.34,1.82,0.73,8.89,0
784,3.64,1,10.72,2.34,1.33,14.39,0
3386,23.03,1,46.31,4.94,3.4,54.65,1
706,2.9,1,8.78,2.47,3.43,14.68,1
547,2.56,1,7.8,1.69,0.81,10.3,0
171,1.16,1,4.39,1.17,1.81,7.37,0
388,2.11,1,6.34,0.0,3.46,9.8,1
844,3.78,1,10.24,0.0,3.46,13.7,1
1416,2.9,1,14.62,0.0,1.76,16.38,0
921,6.16,1,13.65,3.51,3.41,20.57,1
734,9.27,1,17.06,3.51,0.84,21.41,0
368,2.19,1,6.34,1.17,1.79,9.3,0
800,4.44,1,11.21,3.12,4.45,18.78,1
725,8.53,1,16.09,3.51,1.81,21.41,0
1097,4.02,1,13.16,0.0,0.78,13.94,0
1083,7.03,1,16.09,3.51,1.23,20.83,0
1478,5.42,1,16.58,4.29,0.83,21.7,0
919,8.45,1,17.55,4.16,3.5,25.21,1
335,0.97,1,5.36,0.0,1.76,7.12,0
511,2.09,1,7.31,0.52,0.83,8.66,0
1468,6.12,1,16.58,0.0,4.44,21.02,1
194,1.13,1,4.39,4.94,0.72,10.05,0
519,2.37,1,7.31,3.64,1.82,12.77,0
297,1.85,5,5.85,0.0,0.78,6.63,0
1269,10.98,1,22.91,6.63,3.42,32.96,1
1023,4.12,1,12.19,0.0,3.46,15.65,1
1540,3.75,1,15.6,0.0,1.76,17.36,0
824,5.07,1,12.68,2.08,3.9,18.66,1
2699,9.4,1,29.25,2.86,4.5,36.61,1
636,3.86,1,10.24,0.0,3.95,14.19,1
1098,2.59,1,8.78,0.0,0.78,9.56,0
414,2.56,1,7.31,0.0,1.27,8.58,0
1065,4.6,1,13.16,0.0,0.78,13.94,0
285,1.32,1,4.88,5.85,1.76,12.49,0
660,1.3,1,7.8,0.0,0.78,8.58,0
313,1.77,1,5.85,0.0,1.76,7.61,0
3112,11.73,1,32.18,4.94,0.72,37.84,0
629,2.57,2,8.78,0.0,1.76,10.54,0
1031,3.7,1,12.19,2.86,4.4,19.45,1
1240,6.65,1,16.58,0.0,1.28,17.86,0
604,2.27,1,8.29,0.0,0.78,9.07,0
2930,14.64,1,34.61,0.0,3.46,38.07,1
380,1.38,6,5.85,0.0,0.78,6.63,0
517,1.93,1,6.82,1.95,0.73,9.5,0
1695,8.06,1,20.96,4.29,0.84,26.09,0
664,2.74,1,8.78,2.34,0.83,11.95,0
851,3.3,1,10.24,0.0,3.46,13.7,1
191,1.77,1,5.36,1.95,1.27,8.58,0
584,2.25,1,7.8,2.21,1.3,11.31,0
495,2.67,6,7.8,1.04,0.72,9.56,0
1320,5.79,1,16.58,0.0,1.27,17.85,0
322,1.29,4,5.36,2.47,1.72,9.55,0
169,0.64,1,3.9,0.0,0.78,4.68,0
862,5.05,1,13.16,2.99,1.75,17.9,0
1864,10.27,1,23.89,5.46,3.47,32.82,1
380,1.38,1,5.85,0.0,1.76,7.61,0
1555,12.6,1,25.84,8.19,1.21,35.24,0
1725,7.32,1,20.48,0.0,1.76,22.24,0
1015,4.35,1,12.68,3.25,3.44,19.37,1
1120,5.66,1,15.11,2.86,3.53,21.5,1
2047,21.36,1,39.0,1.95,7.17,48.12,0
727,4.22,1,10.72,3.51,3.5,17.73,1
445,1.77,3,6.34,0.0,4.44,10.78,1
321,1.45,1,5.36,1.04,1.79,8.19,0
829,3.22,1,10.72,2.86,0.8,14.38,0
774,5.38,1,12.19,4.03,3.96,20.18,1
459,2.54,1,7.31,1.95,0.78,10.04,0
632,2.43,1,8.29,2.73,0.77,11.79,0
622,5.79,1,12.19,4.03,3.96,20.18,1
396,1.67,1,6.34,0.0,0.78,7.12,0
2122,15.37,1,33.15,0.0,0.78,33.93,0
844,3.22,1,10.72,3.12,4.49,18.33,1
814,9.98,1,18.53,0.0,1.76,20.29,0
619,4.68,1,11.21,0.0,3.95,15.16,1
808,2.95,1,9.75,2.86,4.41,17.02,1
612,2.43,1,8.29,1.95,3.46,13.7,1
105,0.64,4,3.41,1.69,3.48,8.58,1
511,1.77,1,6.82,1.95,0.73,9.5,0
1209,5.12,5,14.62,0.0,3.46,18.08,1
159,1.56,1,4.88,0.0,0.78,5.66,0
361,2.25,2,6.34,0.0,1.27,7.61,0
2316,5.65,1,23.4,0.0,1.76,25.16,0
1004,5.42,1,13.65,5.07,3.52,22.24,1
1207,3.7,1,13.65,3.12,1.71,18.48,0
1980,9.72,6,22.91,0.0,0.78,23.69,0
1043,3.33,3,11.7,0.0,0.78,12.48,0
992,3.09,1,11.21,0.0,3.46,14.67,1
482,2.56,1,7.31,1.04,3.4,11.75,1
901,5.84,1,13.65,3.38,3.5,20.53,1
578,2.19,1,7.8,0.0,0.78,8.58,0
1275,6.26,6,16.09,5.85,9.85,31.79,1
185,0.76,1,3.9,0.0,0.78,4.68,0
510,3.54,1,8.29,0.0,0.78,9.07,0
1188,5.63,2,14.62,0.0,0.78,15.4,0
176,0.97,1,4.39,1.04,0.76,6.19,0
2408,13.05,1,29.74,4.94,3.5,38.18,1
1584,5.99,2,18.04,0.0,4.44,22.48,1
1785,6.76,1,19.99,4.94,4.38,29.31,1
497,1.71,1,6.82,0.0,1.76,8.58,0
1083,8.34,2,43.88,0.0,0.29,44.17,0
561,2.53,1,7.8,0.26,0.72,8.78,0
505,2.98,1,7.8,1.82,1.26,10.88,0
492,2.0,1,6.82,2.08,3.44,12.34,1
324,1.61,1,5.85,0.0,1.76,7.61,0
1055,6.12,1,15.11,1.04,0.72,16.87,0
230,0.87,6,4.39,0.0,0.78,5.17,0
1183,3.72,5,13.16,2.86,3.53,19.55,1
995,4.51,1,12.68,3.25,3.43,19.36,1
1103,4.51,2,13.16,0.0,3.46,16.62,1
57,0.42,1,29.25,5.85,0.35,35.45,0
864,4.84,1,12.19,0.0,3.46,15.65,1
777,3.17,2,10.24,0.0,0.78,11.02,0
456,1.72,1,6.34,1.95,3.47,11.76,1
2069,18.33,5,34.61,0.0,3.46,38.07,1
1078,4.25,1,12.68,0.0,3.46,16.14,1
704,3.59,1,9.26,1.95,0.84,12.05,0
1137,4.35,1,12.68,0.0,1.76,14.44,0
1007,6.07,1,14.14,0.0,4.44,18.58,1
299,0.97,1,4.88,1.04,1.2,7.12,0
373,1.21,1,5.85,0.0,3.46,9.31,1
1784,6.68,1,19.01,0.0,3.46,22.47,1
1935,13.55,2,30.22,6.24,1.33,37.79,0
1011,3.69,1,11.7,0.0,4.44,16.14,1
1905,9.96,1,24.38,3.9,4.44,32.72,1
186,0.82,1,3.9,0.0,4.44,8.34,1
796,4.63,1,11.21,0.0,1.76,12.97,0
612,3.44,1,9.26,0.0,3.95,13.21,1
668,2.56,3,8.78,0.0,0.78,9.56,0
1495,8.63,1,20.48,4.81,3.44,28.73,1
613,2.27,1,7.8,2.73,1.26,11.79,0
957,5.44,1,13.65,1.04,0.75,15.44,0
497,3.15,1,8.29,0.0,3.46,11.75,1
316,1.35,1,5.36,0.0,0.78,6.14,0
485,1.66,1,6.82,0.0,0.78,7.6,0
839,4.02,1,11.21,3.12,4.44,18.77,1
748,10.69,1,19.01,0.0,0.78,19.79,0
1331,5.52,1,16.09,1.04,0.72,17.85,0
1171,4.88,1,14.14,0.0,0.78,14.92,0
734,6.31,1,13.16,3.77,1.71,18.64,0
1048,4.18,1,12.68,0.0,1.76,14.44,0
527,2.59,1,8.29,0.0,0.78,9.07,0
959,7.64,1,15.6,0.0,0.78,16.38,0
536,1.96,1,7.31,1.56,0.84,9.71,0
916,7.81,1,15.6,3.51,1.72,20.83,0
839,3.98,1,11.21,0.0,3.95,15.16,1
471,2.25,1,7.31,1.56,0.84,9.71,0
408,1.75,1,6.34,0.0,3.46,9.8,1
911,3.96,1,11.21,3.12,4.45,18.78,1
985,7.47,1,19.5,0.0,0.29,19.79,0
555,1.66,1,7.31,0.0,0.78,8.09,0
425,1.59,1,6.34,0.0,0.78,7.12,0
410,1.53,1,5.85,1.43,1.26,8.54,0
374,1.29,1,5.85,1.04,3.4,10.29,1
561,2.25,1,7.8,1.69,0.8,10.29,0
942,4.51,1,11.7,3.77,0.75,16.22,0
433,1.3,1,6.34,0.65,0.81,7.8,0
218,0.27,5,3.9,1.43,3.5,8.83,1
309,1.06,1,4.88,0.0,1.76,6.64,0
620,2.83,1,8.29,1.95,1.23,11.47,0
603,2.88,1,8.78,0.0,1.27,10.05,0
2527,32.49,2,55.58,0.0,1.27,56.85,0
414,2.22,5,6.82,0.0,1.27,8.09,0
491,1.96,6,6.82,0.0,0.78,7.6,0
395,2.22,1,6.82,1.56,0.74,9.12,0
510,2.57,1,7.8,0.0,1.76,9.56,0
841,3.59,1,10.24,1.95,0.78,12.97,0
1954,9.96,5,24.38,5.59,3.44,33.41,1
507,2.17,3,7.31,0.0,0.78,8.09,0
784,6.78,1,14.62,3.12,0.74,18.48,0
532,2.45,1,7.8,1.95,1.72,11.47,0
1350,4.86,1,15.6,0.0,3.46,19.06,1
1168,4.25,1,13.16,0.0,0.78,13.94,0
718,3.06,2,10.24,2.21,4.43,16.88,1
1490,9.61,1,19.5,0.0,3.95,23.45,1
263,1.46,1,5.36,0.0,0.78,6.14,0
179,0.93,1,3.9,0.91,0.81,5.62,0
603,3.22,1,8.78,2.99,1.25,13.02,0
685,9.67,1,17.06,3.64,1.29,21.99,0
1170,4.01,1,13.65,0.0,1.76,15.41,0
740,2.99,1,9.26,2.47,0.83,12.56,0
235,1.77,2,5.36,0.0,0.78,6.14,0
416,1.83,1,6.34,1.43,0.77,8.54,0
261,1.34,1,4.88,1.95,0.78,7.61,0
268,1.29,1,4.88,1.69,0.75,7.32,0
275,1.14,2,5.36,0.0,0.78,6.14,0
603,3.22,5,9.26,2.47,0.83,12.56,0
405,1.72,1,6.34,0.0,0.78,7.12,0
877,4.75,1,12.68,3.25,3.44,19.37,1
278,1.13,1,4.88,0.0,1.27,6.15,0
847,2.9,1,9.75,0.0,0.78,10.53,0
717,3.89,6,10.24,0.0,3.46,13.7,1
731,2.88,2,9.26,0.0,0.78,10.04,0
748,4.35,1,10.72,2.47,1.78,14.97,0
1328,11.17,1,22.91,5.33,3.41,31.65,1
31,0.29,1,2.44,0.0,1.27,3.71,0
301,1.32,1,5.36,2.08,1.81,9.25,0
178,0.92,1,4.39,1.17,1.81,7.37,0
248,5.52,1,10.72,0.0,0.78,11.5,0
370,1.71,1,6.34,1.56,1.81,9.71,0
180,0.64,1,3.9,2.21,3.44,9.55,1
922,9.33,1,24.38,0.0,0.29,24.67,0
422,2.56,1,7.31,0.0,1.27,8.58,0
1725,8.69,2,22.91,2.86,4.5,30.27,1
942,3.77,1,11.21,0.0,3.46,14.67,1
2431,11.27,1,28.28,0.0,0.78,29.06,0
2022,5.6,1,20.48,4.81,3.44,28.73,1
773,7.5,3,15.6,5.07,1.26,21.93,0
192,2.35,1,5.85,1.04,0.72,7.61,0
2451,7.4,1,25.35,0.0,0.78,26.13,0
795,8.58,1,16.58,4.29,0.83,21.7,0
1891,5.39,1,18.53,5.46,3.5,27.49,1
557,1.35,1,6.82,1.69,1.78,10.29,0
1241,9.0,1,19.99,4.94,4.38,29.31,1
471,2.3,1,7.31,2.21,3.99,13.51,1
820,2.83,1,10.24,0.0,0.78,11.02,0
684,3.28,1,9.75,2.08,0.81,12.64,0
1688,6.5,2,19.5,1.04,0.75,21.29,0
461,1.72,1,6.82,1.56,0.74,9.12,0
580,2.54,1,8.29,0.0,1.27,9.56,0
491,1.13,1,6.34,0.0,1.76,8.1,0
2116,6.39,1,21.94,0.0,3.46,25.4,1
1013,4.8,1,13.16,5.85,4.44,23.45,1
1343,11.83,4,24.38,0.0,7.17,31.55,0
1351,9.58,2,21.45,7.41,3.52,32.38,1
303,1.11,1,5.36,1.04,1.69,8.09,0
382,1.43,1,5.85,0.0,0.78,6.63,0
334,1.56,1,5.36,0.0,0.78,6.14,0
614,6.24,1,13.16,2.73,0.84,16.73,0
1119,13.47,1,23.89,4.94,0.77,29.6,0
1624,10.35,1,23.89,6.89,3.41,34.19,1
799,4.1,1,11.21,2.47,1.29,14.97,0
1248,4.99,2,15.11,5.85,4.46,25.42,1
368,2.67,1,7.31,0.0,0.78,8.09,0
1079,6.13,1,15.11,2.86,0.84,18.81,0
214,1.01,1,4.39,1.17,1.23,6.79,0
312,1.24,1,5.36,0.0,0.78,6.14,0
630,3.73,6,9.26,0.0,1.76,11.02,0
520,1.93,1,7.8,1.69,0.8,10.29,0
839,8.24,1,16.09,5.85,3.48,25.42,1
969,8.34,1,17.55,5.59,1.32,24.46,0
513,2.75,1,7.8,1.69,0.81,10.3,0
1389,9.04,1,20.48,3.9,3.46,27.84,1
633,0.97,1,7.8,0.0,1.76,9.56,0
426,1.71,1,6.34,1.43,0.77,8.54,0
442,1.77,1,6.34,0.0,1.27,7.61,0
2977,41.84,3,86.29,0.13,14.64,101.06,0
649,3.25,1,9.75,2.47,0.34,12.56,0
928,4.76,1,11.21,0.0,1.27,12.48,0
1319,3.43,4,14.14,0.0,0.78,14.92,0
597,4.25,1,9.75,3.25,3.52,16.52,1
3138,48.41,2,130.65,0.0,1.27,131.92,0
1289,6.76,2,17.06,4.16,3.41,24.63,1
1212,11.89,1,22.91,6.24,8.11,37.26,0
647,5.6,1,18.53,0.0,0.29,18.82,0
1643,6.41,1,19.01,2.08,3.53,24.62,1
437,2.75,1,7.31,1.56,0.84,9.71,0
1607,4.52,1,17.06,0.0,3.46,20.52,1
470,1.8,1,6.82,1.04,1.69,9.55,0
802,3.15,1,9.75,0.0,0.78,10.53,0
1454,6.84,1,18.04,3.77,0.77,22.58,0
2404,14.32,1,31.2,3.51,3.42,38.13,1
1719,15.29,2,63.38,0.0,0.78,64.16,0
442,1.54,1,6.34,0.0,0.78,7.12,0
2283,16.21,1,32.66,8.97,3.52,45.15,1
1094,4.52,2,13.16,0.0,3.46,16.62,1
308,1.4,1,4.88,0.0,1.76,6.64,0
734,3.03,1,9.75,0.0,3.46,13.21,1
572,2.09,1,7.8,0.0,0.78,8.58,0
1730,6.55,1,19.5,5.33,1.74,26.57,0
580,2.32,1,7.8,2.21,3.5,13.51,1
1337,13.02,1,25.35,8.19,1.7,35.24,0
2146,5.17,2,1.95,0.0,0.29,2.24,0
693,2.88,1,9.75,0.0,0.78,10.53,0
2683,17.33,1,37.54,7.67,0.77,45.98,0
764,4.43,1,10.72,0.0,0.78,11.5,0
383,1.93,1,6.34,1.95,0.78,9.07,0
550,5.78,1,12.19,2.47,0.75,15.41,0
355,1.45,1,5.85,1.43,1.26,8.54,0
366,2.12,1,6.34,1.56,1.81,9.71,0
860,3.69,1,10.72,3.51,3.5,17.73,1
835,3.6,1,10.72,2.86,3.44,17.02,1
861,4.47,1,12.19,2.73,1.81,16.73,0
163,1.11,1,4.39,2.86,1.33,8.58,0
791,2.57,3,9.26,1.95,0.78,11.99,0
1949,19.75,2,38.02,0.0,1.27,39.29,0
826,8.13,1,16.58,2.6,0.78,19.96,0
